actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,D,27.1130232141,2016-10-08 00:00:00,1068586,bjjktc,北京家酷天成商贸有限公司,11,4.54980718557
1.0,1.0,D,41.1451166892,2016-10-13 00:00:00,1068586,bjjktc,北京家酷天成商贸有限公司,22,5.66925795529
1.0,1.0,D,15.2616417711,2016-07-13 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,5,22.6393512129
1.0,1.0,D,22.3048327138,2016-09-05 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,6,12.5681823644
1.0,1.0,D,51.1871367015,2016-09-20 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,3,16.4746491963
0.87272727272727268,1.0,D,27.3815746895,2016-10-08 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,8,9.52957358689
0.73809523809523814,0.73809523809523814,D,21.5610857942,2016-10-12 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,13,13.9053756126
0.0,,D,23.1110958939,2016-10-18 00:00:00,1072920,bjcwgsm,北京承文阁贸易有限公司,6,32.1023395666
1.0,1.0,D,2.48547836253,2016-08-08 00:00:00,1072928,bjcwgsm,北京承文阁贸易有限公司,9,17.8532183748
1.0,1.0,D,14.1637327506,2016-08-22 00:00:00,1072928,bjcwgsm,北京承文阁贸易有限公司,5,22.058034005
1.0,1.0,D,19.7739525009,2016-09-12 00:00:00,1072928,bjcwgsm,北京承文阁贸易有限公司,5,17.682635992
1.0,1.0,D,41.4232607541,2016-10-12 00:00:00,1072928,bjcwgsm,北京承文阁贸易有限公司,13,4.27827506776
0.0,,D,31.7450986156,2016-10-18 00:00:00,1072928,bjcwgsm,北京承文阁贸易有限公司,6,20.8613369659
1.0,1.0,Z,100.0,2016-10-12 00:00:00,1072948,bjcwgsm,北京承文阁贸易有限公司,13,36.5713356485
1.0,1.0,D,51.3026052104,2016-08-31 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,4,-2.13995420721
1.0,1.0,D,51.8698234753,2016-09-20 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,3,9.78113891029
1.0,1.0,D,6.61216638615,2016-09-27 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,3,13.3570362919
