org_from,org_to,actiontime_max,alt_max,alt_cnt
3,631,2016-07-17,1,121
3,631,2016-07-17,2,3
3,631,2016-07-17,3,2
3,631,2016-07-18,1,106
3,631,2016-07-19,1,141
3,631,2016-07-20,1,129
3,631,2016-07-21,1,150
3,631,2016-07-22,1,146
3,631,2016-07-23,1,133
3,631,2016-07-23,2,27
3,631,2016-07-24,1,132
3,631,2016-07-24,2,42
3,631,2016-07-25,1,126
3,631,2016-07-25,2,23
3,631,2016-07-26,1,125
3,631,2016-07-26,2,35
3,631,2016-07-26,3,1
3,631,2016-07-27,1,153
3,631,2016-07-27,2,33
3,631,2016-07-28,1,117
3,631,2016-07-28,2,21
3,631,2016-07-29,1,73
3,631,2016-07-29,2,35
3,631,2016-07-29,3,3
3,631,2016-07-30,1,87
3,631,2016-07-30,2,78
3,631,2016-07-30,3,20
3,631,2016-07-30,4,5
3,631,2016-07-31,1,82
3,631,2016-07-31,2,72
3,631,2016-07-31,3,9
3,631,2016-08-01,1,121
3,631,2016-08-01,2,52
3,631,2016-08-01,3,2
3,631,2016-08-01,4,1
3,631,2016-08-02,1,120
3,631,2016-08-02,2,1
3,631,2016-08-03,1,125
3,631,2016-08-04,1,118
3,631,2016-08-05,1,117
3,631,2016-08-06,1,130
3,631,2016-08-06,2,1
3,631,2016-08-07,1,135
3,631,2016-08-07,2,1
3,631,2016-08-08,1,124
3,631,2016-08-08,2,1
3,631,2016-08-09,1,123
3,631,2016-08-09,2,1
3,631,2016-08-10,1,136
3,631,2016-08-10,2,1
3,631,2016-08-11,1,132
3,631,2016-08-12,1,88
3,631,2016-08-12,2,2
3,631,2016-08-13,1,121
3,631,2016-08-14,1,102
3,631,2016-08-14,2,1
3,631,2016-08-15,1,140
3,631,2016-08-16,1,100
3,631,2016-08-17,1,140
3,631,2016-08-18,1,82
3,631,2016-08-19,1,161
3,631,2016-08-20,0,1
3,631,2016-08-20,1,108
3,631,2016-08-21,1,109
3,631,2016-08-22,1,1
3,631,2016-08-22,2,1
3,631,2016-08-27,4,1
3,631,2016-08-29,1,12
3,631,2016-08-30,1,26
3,631,2016-08-30,2,1
3,631,2016-08-31,1,24
3,631,2016-08-31,2,76
3,631,2016-08-31,3,7
3,631,2016-09-01,1,11
3,631,2016-09-01,2,46
3,631,2016-09-01,3,32
3,631,2016-09-01,4,5
3,631,2016-09-02,1,7
3,631,2016-09-02,2,21
3,631,2016-09-02,3,17
3,631,2016-09-02,4,7
3,631,2016-09-03,1,15
3,631,2016-09-03,2,36
3,631,2016-09-03,3,27
3,631,2016-09-03,4,33
3,631,2016-09-03,5,2
3,631,2016-09-04,1,26
3,631,2016-09-04,2,45
3,631,2016-09-04,3,15
3,631,2016-09-04,4,13
3,631,2016-09-04,5,14
3,631,2016-09-04,6,4
3,631,2016-09-05,1,41
3,631,2016-09-05,2,21
3,631,2016-09-05,3,48
3,631,2016-09-05,4,15
3,631,2016-09-05,5,6
3,631,2016-09-05,6,4
3,631,2016-09-05,8,1
3,631,2016-09-06,1,92
3,631,2016-09-06,2,35
3,631,2016-09-06,3,18
3,631,2016-09-06,4,74
3,631,2016-09-06,5,32
3,631,2016-09-06,6,18
3,631,2016-09-06,7,7
3,631,2016-09-06,8,1
3,631,2016-09-07,1,134
3,631,2016-09-07,2,14
3,631,2016-09-07,3,3
3,631,2016-09-07,4,9
3,631,2016-09-07,5,17
3,631,2016-09-07,6,11
3,631,2016-09-07,7,9
3,631,2016-09-07,8,15
3,631,2016-09-07,9,2
3,631,2016-09-08,1,176
3,631,2016-09-08,4,16
3,631,2016-09-08,5,1
3,631,2016-09-08,6,4
3,631,2016-09-08,7,1
3,631,2016-09-08,8,1
3,631,2016-09-09,1,118
3,631,2016-09-09,2,1
3,631,2016-09-09,5,1
3,631,2016-09-09,6,7
3,631,2016-09-09,7,6
3,631,2016-09-09,8,4
3,631,2016-09-09,9,9
3,631,2016-09-09,10,2
3,631,2016-09-09,12,1
3,631,2016-09-10,1,37
3,631,2016-09-10,2,11
3,631,2016-09-10,6,1
3,631,2016-09-10,7,2
3,631,2016-09-10,8,4
3,631,2016-09-10,11,4
3,631,2016-09-10,12,1
3,631,2016-09-11,1,30
3,631,2016-09-11,2,147
3,631,2016-09-11,4,1
3,631,2016-09-11,7,1
3,631,2016-09-11,8,5
3,631,2016-09-11,9,7
3,631,2016-09-11,10,1
3,631,2016-09-11,11,4
3,631,2016-09-11,12,4
3,631,2016-09-12,1,8
3,631,2016-09-12,2,50
3,631,2016-09-12,3,3
3,631,2016-09-12,4,4
3,631,2016-09-12,8,1
3,631,2016-09-12,9,1
3,631,2016-09-12,10,7
3,631,2016-09-12,11,2
3,631,2016-09-12,12,8
3,631,2016-09-12,13,2
3,631,2016-09-12,14,4
3,631,2016-09-13,1,25
3,631,2016-09-13,2,52
3,631,2016-09-13,3,11
3,631,2016-09-13,11,1
3,631,2016-09-13,13,1
3,631,2016-09-13,14,1
3,631,2016-09-14,1,91
3,631,2016-09-14,2,56
3,631,2016-09-14,3,42
3,631,2016-09-14,4,36
3,631,2016-09-14,12,9
3,631,2016-09-14,13,7
3,631,2016-09-14,14,3
3,631,2016-09-14,16,2
3,631,2016-09-15,1,116
3,631,2016-09-15,2,21
3,631,2016-09-15,11,3
3,631,2016-09-15,13,3
3,631,2016-09-15,14,4
3,631,2016-09-16,1,86
3,631,2016-09-16,2,6
3,631,2016-09-16,3,3
3,631,2016-09-16,4,1
3,631,2016-09-16,5,15
3,631,2016-09-16,6,3
3,631,2016-09-16,7,1
3,631,2016-09-16,13,2
3,631,2016-09-16,14,1
3,631,2016-09-16,15,5
3,631,2016-09-16,16,1
3,631,2016-09-17,1,158
3,631,2016-09-17,4,1
3,631,2016-09-17,5,1
3,631,2016-09-17,7,3
3,631,2016-09-17,9,1
3,631,2016-09-17,12,1
3,631,2016-09-17,15,8
3,631,2016-09-17,16,3
3,631,2016-09-18,1,133
3,631,2016-09-18,2,3
3,631,2016-09-18,3,1
3,631,2016-09-18,5,12
3,631,2016-09-18,6,20
3,631,2016-09-18,7,3
3,631,2016-09-18,8,14
3,631,2016-09-18,9,2
3,631,2016-09-18,15,4
3,631,2016-09-18,16,5
3,631,2016-09-18,17,7
3,631,2016-09-18,18,6
3,631,2016-09-18,19,2
3,631,2016-09-19,1,122
3,631,2016-09-19,6,2
3,631,2016-09-19,7,3
3,631,2016-09-19,8,2
3,631,2016-09-19,9,1
