arrive_time	item_sku_id	arrive_quantity	int_org_num
2017-01-21	1003066	3700	4
2017-01-21	1003080	240	4
2017-01-21	1003263050	6	4
2017-01-21	1003629	96	4
2017-01-21	1003636	96	4
2017-01-21	1003867	4	4
2017-01-21	1004092278	60	4
2017-01-21	1004328596	6	4
2017-01-21	1005268	29	4
2017-01-21	1006131	288	4
2017-01-21	1008185	12	4
2017-01-21	1008341	16	4
2017-01-21	1009824	108	4
2017-01-21	1010471	211	4
2017-01-21	1010830	12	4
2017-01-21	1012135	120	4
2017-01-21	1012153	240	4
2017-01-21	1014351	26	4
2017-01-21	1014667	10	4
2017-01-21	1014711	7	4
2017-01-21	101498	130	4
2017-01-21	1015091	20	4
2017-01-21	1015092	400	4
2017-01-21	1016438	10	4
2017-01-21	1016453	80	4
2017-01-21	1016841	30	4
2017-01-21	1017541	897	4
2017-01-21	1017596	8	4
2017-01-21	1019198	3648	4
2017-01-21	1019271	224	4
2017-01-21	1019438876	16	4
2017-01-21	1019455846	39	4
2017-01-21	1021584	1	4
2017-01-21	1021585	5	4
2017-01-21	1021680	6	4
2017-01-21	1021733	25	4
2017-01-21	1022044	40	4
2017-01-21	1022958	600	4
2017-01-21	1025025	100	4
2017-01-21	1025519	0	4
2017-01-22	1001194	1	4
2017-01-22	1001465	100	4
2017-01-22	100391	200	4
2017-01-22	1005998	6	4
2017-01-22	1007963	80	4
2017-01-22	1009743	70	4
2017-01-22	1009745	230	4
2017-01-22	1009766	170	4
2017-01-22	1010972	3	4
2017-01-22	1012752	10	4
2017-01-22	1012849	100	4
2017-01-22	1013063	700	4
2017-01-22	1013070	110	4
2017-01-22	1013101	40	4
2017-01-22	1013108	150	4
2017-01-22	1013136	6	4
2017-01-22	1013360	4	4
2017-01-22	1013979	96	4
2017-01-22	1014056	90	4
2017-01-22	101666	57	4
2017-01-22	1018295	10	4
2017-01-22	1019326	60	4
2017-01-22	1019442704	48	4
2017-01-22	1019696	24	4
2017-01-22	1020423	6	4
2017-01-22	1021591	1	4
2017-01-22	1023241	22	4
2017-01-22	1023596	151	4
2017-01-22	1023662	22	4
