sku_id	dc_id	order_date	total_sales	sales_as_gift	sales_for_free	big_order_sales	special_order_sales	order_qtty	dt
1000609	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1000609	4	2017-03-11	1	0	0	0	1	1	2017-03-11
1000609	4	2017-03-06	2	0	0	0	0	2	2017-03-06
1000609	4	2017-03-04	1	0	0	0	0	1	2017-03-04
1000609	4	2017-03-08	2	0	0	0	0	2	2017-03-08
1000609	4	2017-03-10	2	0	0	0	0	2	2017-03-10
1000609	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1000609	4	2017-03-01	3	0	0	0	0	2	2017-03-01
1000665529	4	2017-02-23	1	0	0	0	0	1	2017-02-23
1000665529	4	2017-03-13	3	0	0	0	0	1	2017-03-13
1000668481	4	2017-03-09	2	0	0	0	0	2	2017-03-09
1000678558	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1000678558	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1000678558	4	2017-02-28	1	0	0	0	0	1	2017-02-28
1000700341	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1000700341	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1000700341	4	2017-02-23	2	0	0	0	0	1	2017-02-23
1000711	4	2017-03-19	1	0	0	0	0	1	2017-03-19
1000711	4	2017-03-15	2	0	0	0	0	2	2017-03-15
1000711	4	2017-03-05	1	0	0	0	0	1	2017-03-05
1000711	4	2017-03-17	3	0	0	0	0	3	2017-03-17
1000711	4	2017-03-04	1	0	0	0	0	1	2017-03-04
1000711	4	2017-02-25	4	0	0	0	0	4	2017-02-25
1000711	4	2017-02-20	4	0	0	0	0	4	2017-02-20
1000711	4	2017-03-07	4	0	0	0	0	4	2017-03-07
1000711	4	2017-02-28	3	0	0	0	0	3	2017-02-28
1000711	4	2017-03-09	2	0	0	0	0	1	2017-03-09
1000711	4	2017-03-11	1	0	0	0	0	1	2017-03-11
1000711	4	2017-02-22	4	0	0	0	0	4	2017-02-22
1000711	4	2017-03-18	1	0	0	0	0	1	2017-03-18
1000711	4	2017-03-16	5	0	0	0	0	5	2017-03-16
1000711	4	2017-03-01	3	0	0	0	0	3	2017-03-01
1000711	4	2017-03-08	2	0	0	0	0	2	2017-03-08
1000711	4	2017-03-03	2	0	0	0	0	2	2017-03-03
1000711	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1000711	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1000711	4	2017-02-24	1	0	0	0	0	1	2017-02-24
1000711	4	2017-02-26	2	0	0	0	0	2	2017-02-26
1000797301	4	2017-02-26	2	0	0	0	0	2	2017-02-26
1000797301	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1000797301	4	2017-02-28	1	0	0	0	0	1	2017-02-28
