date,rdc,order_id,item_sku_id,arrive_quantity
2016/11/4,682,16480532,3701314,20
2016/11/4,682,18219759,3701396,1
2016/11/4,682,15079767,3701440,0
2016/11/4,682,19753984,3701602,10
2016/11/4,682,14874609,3701684,2
2016/11/4,682,15349522,3702250,2
2016/11/4,682,15766618,3702368,2
2016/11/4,682,16293354,3702412,12
2016/11/4,682,15079767,3702782,3
2016/11/4,682,18405305,3703628,1
2016/11/4,682,14448543,3703998,1
2016/11/4,682,15079767,3704320,0
2016/11/4,682,14448543,3704564,3
2016/11/4,682,16645503,3705536,12
2016/11/4,682,13737173,3707200,6
2016/11/4,682,15611557,3707282,8
2016/11/4,682,19434887,3707570,5
2016/11/4,682,15766618,3707688,5
2016/11/4,682,14448543,3707732,15
2016/11/4,682,17562176,3708128,3
2016/11/4,682,14434600,3708254,10
2016/11/4,682,19615648,3708416,10
2016/11/4,682,14006910,3708498,3
2016/11/4,682,20518179,3708542,7
2016/11/4,682,15196614,3708786,2
2016/11/4,682,13920634,3708948,4
2016/11/4,682,15611557,3709064,8
2016/11/4,682,15814631,3709190,6
2016/11/4,682,15561957,3709226,4
2016/11/4,682,16089677,3709352,10
2016/11/4,682,14874609,3709514,20
2016/11/4,682,15349378,3709758,40
2016/11/4,682,13854909,3709884,30
2016/11/4,682,15079748,3710062,15
2016/11/4,682,18405305,3710224,10
2016/11/4,682,14006893,3711278,2
2016/11/4,682,18990677,3711566,30
2016/11/4,682,17667692,3711610,10
2016/11/4,682,14150831,3711692,12
2016/11/4,682,16446593,3711728,2
2016/11/4,682,18047316,3711854,15
2016/11/4,682,14608233,3712006,20
2016/11/4,682,15158262,3712088,5
2016/11/4,682,17914361,3712376,15
2016/11/4,682,14961975,3712664,3
2016/11/4,682,19753984,3712790,10
2016/11/4,682,14448543,3713230,2
2016/11/4,682,20518179,3713924,3
2016/11/4,682,16645503,3714446,1
2016/11/4,682,14127768,3714734,700
2016/11/4,682,15789879,3715418,200
2016/11/4,682,16329655,3715670,200
2016/11/4,682,16893740,3716192,200
2016/11/4,682,19363797,3717290,100
2016/11/4,682,19341079,3717614,73
2016/11/4,682,14249961,3717858,800
2016/11/4,682,15984802,3718262,0
2016/11/4,682,17744420,3718550,600
2016/11/4,682,14381447,3718956,1440
2016/11/4,682,18802261,3719478,0
2016/11/4,682,13730684,3719766,5
2016/11/4,682,19930963,3720106,15
2016/11/4,682,20019677,3720188,20
2016/11/4,682,15363534,3720638,3
2016/11/4,682,16807742,3720926,10
2016/11/4,682,17663214,3721736,2
2016/11/4,682,17031982,3722384,30
2016/11/4,682,17081179,3722546,50
2016/11/4,682,17016984,3723112,60
2016/11/4,682,14161528,3723356,30
2016/11/4,682,16976335,3723482,5
2016/11/4,682,15921686,3723806,8
2016/11/4,682,15921686,3723888,24
2016/11/4,682,19759565,3724742,24
2016/11/4,682,19665093,3725796,36
2016/11/4,682,13879328,3726524,5
2016/11/4,682,16727030,3726894,30
2016/11/4,682,15412822,3727208,30
2016/11/4,682,14699904,3728432,500
2016/11/4,682,18451541,3728838,624
2016/11/4,682,19154576,3729080,720
2016/11/4,682,18364674,3729198,0
2016/11/4,682,14006617,3729530,100
2016/11/4,682,16265446,3729648,100
2016/11/4,682,17013003,3729936,40
2016/11/4,682,14737379,3730240,8
2016/11/4,682,15330233,3730358,2
2016/11/4,682,15412822,3731050,80
2016/11/4,682,17543203,3731212,0
2016/11/4,682,20137269,3731456,720
2016/11/4,682,19799059,3731500,1341
2016/11/4,682,19731943,3731582,0
2016/11/4,682,14299659,3731744,150
2016/11/4,682,19436091,3731870,420
2016/11/4,682,19408695,3731906,95
2016/11/4,682,19487547,3731988,1000
2016/11/4,682,16749981,3732428,8
2016/11/4,682,15293476,3732680,12
2016/11/4,682,14471572,3732842,8
2016/11/4,682,15709783,3733238,36
2016/11/4,682,20551467,3733364,264
2016/11/4,682,18956058,3733652,30
2016/11/4,682,20154695,3733814,48
2016/11/4,682,17507105,3734868,6
2016/11/4,682,17941175,3734912,12
2016/11/4,682,18558750,3735272,24
2016/11/4,682,15482014,3735308,2
2016/11/4,682,15345658,3735560,40
2016/11/4,682,16567986,3735678,10
2016/11/4,682,17652274,3735722,12
2016/11/4,682,14766376,3738846,12
2016/11/4,682,15474709,3738972,0
2016/11/4,682,15095320,3739368,6
2016/11/4,682,14511730,3739494,1
2016/11/4,682,17254938,3739656,1
2016/11/4,682,18996522,3739700,8
2016/11/4,682,18996522,3739944,7
2016/11/4,682,15763817,3740492,10
2016/11/4,682,14229184,3741220,72
2016/11/4,682,17413764,3743084,42
2016/11/4,682,18563962,3743246,10
2016/11/4,682,17647603,3743408,3
2016/11/4,682,18779105,3743534,40
2016/11/4,682,19555184,3745604,45
2016/11/4,682,17646790,3745686,48
2016/11/4,682,17718433,3746702,48
2016/11/4,682,16575374,3747062,36
2016/11/4,682,14070759,3747224,8
2016/11/4,682,14453513,3747468,12
2016/11/4,682,14070759,3747594,0
2016/11/4,682,14568764,3747918,258
2016/11/4,682,15303515,3748278,5
2016/11/4,682,14202002,3748566,150
2016/11/4,682,17644132,3748692,5
2016/11/4,682,16332113,3748854,6
2016/11/4,682,13872044,3749006,30
2016/11/4,682,14190780,3749088,6
2016/11/4,682,15741191,3749132,20
2016/11/4,682,17387063,3749376,10
2016/11/4,682,14083027,3749420,4
2016/11/4,682,16257734,3749538,3
2016/11/4,682,19210377,3749664,5
2016/11/4,682,13813098,3749952,6
2016/11/4,682,17703546,3750020,13
2016/11/4,682,16437444,3750138,0
2016/11/4,682,15361963,3750264,100
2016/11/4,682,16102537,3750426,40
2016/11/4,682,19103898,3750552,270
2016/11/4,682,15760586,3751768,24
2016/11/4,682,18593804,3752578,4880
2016/11/4,682,19513708,3752866,0
2016/11/4,682,13958159,3752992,20
2016/11/4,682,18490399,3753018,10
2016/11/4,682,16039218,3753270,162
2016/11/4,682,18404740,3753676,0
2016/11/4,682,14113933,3753720,30
2016/11/4,682,15244517,3753964,16
2016/11/4,682,18755282,3754116,0
2016/11/4,682,15433840,3754404,8
2016/11/4,682,20332397,3754486,2
2016/11/4,682,20311055,3754530,0
2016/11/4,682,19354864,3754774,144
2016/11/4,682,14235074,3756682,120
2016/11/4,682,14435591,3756718,120
2016/11/4,682,14778518,3756970,50
2016/11/4,682,18755216,3757492,71
2016/11/4,682,13940590,3757528,39
2016/11/4,682,20365929,3758752,15
2016/11/4,682,14053120,3758914,30
2016/11/4,682,16543820,3759274,3
2016/11/4,682,18581926,3759436,10
2016/11/4,682,16324679,3760434,72
2016/11/4,682,13866366,3760678,30
2016/11/4,682,16773898,3761820,50
2016/11/4,682,14620139,3762180,5
2016/11/4,682,18563710,3762216,12
2016/11/4,682,16301852,3762342,2
2016/11/4,682,18028632,3762504,72
2016/11/4,682,16586651,3762630,12
2016/11/4,682,16285226,3762748,378
2016/11/4,682,16285226,3762874,119
2016/11/4,682,16875422,3763152,10
2016/11/4,682,16060776,3763440,60
2016/11/4,682,14645585,3763684,86
2016/11/4,682,18066825,3763846,72
2016/11/4,682,14339758,3764250,300
2016/11/4,682,14798840,3765178,60
2016/11/4,682,16404038,3766438,30
2016/11/4,682,17460670,3766852,180
2016/11/4,682,18011461,3767004,36
2016/11/4,682,13971531,3769606,114
2016/11/4,682,14608868,3769732,20
2016/11/4,682,15669612,3772224,60
2016/11/4,682,18509119,3772468,4
2016/11/4,682,20357191,3772594,10
2016/11/4,682,20443315,3772756,8
2016/11/4,682,16928176,3772800,5
2016/11/4,682,19388950,3772882,5
2016/11/4,682,19475161,3773322,3
2016/11/4,682,14588809,3773980,100
2016/11/4,682,17921056,3774006,30
2016/11/4,682,19228565,3774088,20
2016/11/4,682,14794177,3774132,4
2016/11/4,682,18014777,3774420,2
2016/11/4,682,14712237,3776978,30
2016/11/4,682,14017642,3777300,15
2016/11/4,682,19893539,3778066,33
2016/11/4,682,15960988,3778228,2
2016/11/4,682,18328117,3778598,5
2016/11/4,682,18764081,3778804,4
2016/11/4,682,16956195,3779038,143
2016/11/4,682,14567860,3779326,40
2016/11/4,682,17484225,3779452,0
2016/11/4,682,13925989,3779614,120
2016/11/4,682,16596346,3779902,100
2016/11/4,682,19796636,3779984,30
2016/11/4,682,16811653,3780162,40
2016/11/4,682,16256820,3780694,1
2016/11/4,682,20559618,3780982,3
2016/11/4,682,15225818,3781260,0
2016/11/4,682,15674954,3782070,1
2016/11/4,682,15296916,3783286,12
2016/11/4,682,14597220,3783448,1
2016/11/4,682,19256496,3783736,4
2016/11/4,682,17137518,3783862,13
2016/11/4,682,20404036,3784014,120
2016/11/4,682,18456940,3784096,0
2016/11/4,682,18719000,3784302,2
2016/11/4,682,17260864,3784546,0
2016/11/4,682,17140775,3784672,1
2016/11/4,682,15468361,3785112,400
2016/11/4,682,20110246,3785356,400
2016/11/4,682,17082896,3785400,6
2016/11/4,682,17237503,3785518,10
2016/11/4,682,14676784,3785644,3
2016/11/4,682,16470183,3785806,10
2016/11/4,682,16736325,3785932,4
2016/11/4,682,15578244,3786292,24
2016/11/4,682,16143597,3786454,504
2016/11/4,682,18454812,3786616,180
2016/11/4,682,16306947,3786742,350
2016/11/4,682,19643500,3787714,0
2016/11/4,682,17755020,3788894,144
2016/11/4,682,14126461,3789046,200
2016/11/4,682,19342707,3789172,60
2016/11/4,682,14812714,3792484,96
2016/11/4,682,16305014,3792646,80
2016/11/4,682,16360702,3793168,40
2016/11/4,682,14848816,3793500,210
2016/11/4,682,17573534,3793906,90
2016/11/4,682,19641338,3795076,90
2016/11/4,682,18851148,3795120,48
2016/11/4,682,14012489,3795652,0
2016/11/4,682,20549546,3795896,0
2016/11/4,682,14432035,3796994,20
2016/11/4,682,14854748,3797308,16
2016/11/4,682,19598409,3797434,4
2016/11/4,682,15081707,3797678,2
2016/11/4,682,18383340,3797722,6
2016/11/4,682,19636627,3798370,10
2016/11/4,682,14974308,3798406,4
2016/11/4,682,17458662,3799216,4
2016/11/4,682,14353662,3799298,0
2016/11/4,682,18016654,3799342,24
2016/11/4,682,19663913,3799630,24
2016/11/4,682,14106405,3800312,100
2016/11/4,682,19067589,3800394,96
2016/11/4,682,14220497,3800556,1500
2016/11/4,682,15290670,3801078,1000
2016/11/4,682,18616202,3802914,236
2016/11/4,682,19798849,3802996,3392
2016/11/4,682,15591635,3803274,1200
2016/11/4,682,16172064,3803436,1002
2016/11/4,682,14431589,3803562,6
2016/11/4,682,15330233,3804822,3
2016/11/4,682,19646773,3805100,4
2016/11/4,682,14629637,3805344,15
2016/11/4,682,14313188,3805588,70
2016/11/4,682,16945670,3805632,50
2016/11/4,682,16690019,3805876,100
2016/11/4,682,14050231,3806442,140
2016/11/4,682,14090179,3806686,90
2016/11/4,682,17139830,3806848,30
2016/11/4,682,18013957,3807126,0
2016/11/4,682,19087928,3807702,0
2016/11/4,682,20271484,3808224,1440
2016/11/4,682,16598476,3808468,204
2016/11/4,682,17602064,3808594,100
2016/11/4,682,16849351,3808756,10
2016/11/4,682,17388476,3808800,30
2016/11/4,682,15318381,3808882,40
2016/11/4,682,16540018,3809034,50
2016/11/4,682,18137567,3809160,0
2016/11/4,682,19635943,3809278,40
2016/11/4,682,16213693,3809566,0
2016/11/4,682,16802679,3809692,30
2016/11/4,682,19546752,3809980,100
2016/11/4,682,13868041,3810564,0
2016/11/4,682,15293740,3813444,0
2016/11/4,682,16890115,3814542,2
2016/11/4,682,19119521,3814830,13
2016/11/4,682,18066826,3815802,12
2016/11/4,682,16752753,3816036,0
2016/11/4,682,15448428,3816694,40
2016/11/4,682,15906801,3816856,25
2016/11/4,682,19969752,3816900,20
2016/11/4,682,19330840,3817260,5
2016/11/4,682,15726054,3817378,19
2016/11/4,682,16246238,3817792,31
2016/11/4,682,14567956,3817828,80
2016/11/4,682,18999461,3821544,90
2016/11/4,682,17005066,3822228,10
2016/11/4,682,14211184,3822598,29
2016/11/4,682,15634415,3824136,1
2016/11/4,682,15895320,3824262,1
2016/11/4,682,20085423,3824550,90
2016/11/4,682,13873806,3826576,5
2016/11/4,682,17930409,3826620,2
2016/11/4,682,14311826,3826738,10
2016/11/4,682,18143757,3827016,20
2016/11/4,682,13907471,3827304,30
2016/11/4,682,14884434,3827674,5
2016/11/4,682,15353232,3828114,3
2016/11/4,682,18627126,3828196,43
2016/11/4,682,18479717,3828240,0
2016/11/4,682,20363274,3828402,240
2016/11/4,682,14149485,3828646,2000
2016/11/4,682,16394288,3829168,600
2016/11/4,682,18826879,3829870,5760
2016/11/4,682,16137890,3830166,1350
2016/11/4,682,17817354,3830210,1170
2016/11/4,682,20257992,3830292,960
2016/11/4,682,15714479,3830328,102
2016/11/4,682,18960277,3830454,49
2016/11/4,682,15087485,3831138,20
2016/11/4,682,14565914,3831390,2
2016/11/4,682,16633009,3831714,5
2016/11/4,682,17782506,3831958,2
2016/11/4,682,19004805,3832362,20
2016/11/4,682,13804095,3833046,10
2016/11/4,682,17755025,3833334,5
2016/11/4,682,18992620,3833460,20
2016/11/4,682,15183454,3833866,20
2016/11/4,682,15253385,3833910,10
2016/11/4,682,17351631,3833992,20
2016/11/4,682,19284539,3834018,50
2016/11/4,682,14325064,3834144,0
2016/11/4,682,14496630,3838528,30
2016/11/4,682,14014078,3839590,30
2016/11/4,682,14070971,3840336,100
2016/11/4,682,15722786,3842406,50
2016/11/4,682,14431943,3842938,1848
2016/11/4,682,17122807,3843180,432
2016/11/4,682,17564940,3843298,1008
2016/11/4,682,19612329,3843630,4320
2016/11/4,682,19540899,3844558,0
2016/11/4,682,15561980,3844602,560
2016/11/4,682,18465169,3844684,1008
2016/11/4,682,20274715,3845124,392
2016/11/4,682,16890865,3846222,160
2016/11/4,682,15354264,3848248,40
2016/11/4,682,16577801,3849184,360
2016/11/4,682,16226995,3849472,80
2016/11/4,682,19488323,3855376,1
2016/11/4,682,16264353,3855420,0
2016/11/4,682,18663084,3856230,0
2016/11/4,682,16517180,3856474,5
2016/11/4,682,17016849,3857734,10
2016/11/4,682,14503949,3857860,2
2016/11/4,682,14913095,3858012,2
2016/11/4,682,18526065,3858094,3
2016/11/4,682,17016849,3858382,6
2016/11/4,682,15565451,3858418,15
2016/11/4,682,15350744,3859642,8
2016/11/4,682,16562883,3859804,2
2016/11/4,682,16274588,3859886,1
2016/11/4,682,13982028,3859930,6
2016/11/4,682,15149553,3860640,220
2016/11/4,682,16742782,3860884,30
2016/11/4,682,14583049,3864330,8
2016/11/4,682,16459653,3864862,4
2016/11/4,682,13916956,3865672,5279
2016/11/4,682,16137434,3866194,4500
2016/11/4,682,20257684,3867742,5733
2016/11/4,682,19064818,3868840,2
2016/11/4,682,15722949,3868958,4
2016/11/4,682,20536397,3869650,2
2016/11/4,682,15515245,3869812,152
2016/11/4,682,18359299,3870234,144
2016/11/4,682,17509287,3870522,29
2016/11/4,682,13755436,3871332,680
2016/11/4,682,13917838,3871576,0
2016/11/4,682,17818978,3871620,384
2016/11/4,682,15281835,3871864,2120
2016/11/4,682,20305520,3873772,20
2016/11/4,682,20305520,3874168,10
