actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,6.0,Z,2016-10-08 00:00:00,2048647,6.0,6.0,19929157.0,dongfangmeirui,北京东方美睿科贸有限公司,4
1.0,1.0,6.0,Z,2016-10-13 00:00:00,2048647,6.0,6.0,20123346.0,dongfangmeirui,北京东方美睿科贸有限公司,5
1.0,1.0,6.0,Z,2016-10-18 00:00:00,2048647,6.0,6.0,20345621.0,dongfangmeirui,北京东方美睿科贸有限公司,5
0.0,0.0,0.0,D,2016-08-02 00:00:00,2048659,4.0,4.0,18034103.0,bjjktc,北京家酷天成商贸有限公司,8
1.0,1.0,15.0,D,2016-08-15 00:00:00,2048659,15.0,15.0,18401295.0,bjjktc,北京家酷天成商贸有限公司,10
0.92307692307692313,1.0,24.0,D,2016-08-19 00:00:00,2048659,26.0,24.0,18525180.0,bjjktc,北京家酷天成商贸有限公司,10
0.0,,0.0,D,2016-09-27 00:00:00,2048659,1.0,0.0,19678439.0,bjjktc,北京家酷天成商贸有限公司,9
0.0,,0.0,D,2016-10-08 00:00:00,2048659,11.0,0.0,19929051.0,bjjktc,北京家酷天成商贸有限公司,28
0.0,,0.0,D,2016-10-13 00:00:00,2048659,38.0,0.0,20123260.0,bjjktc,北京家酷天成商贸有限公司,22
0.0,,0.0,D,2016-10-20 00:00:00,2048659,18.0,0.0,20432042.0,szsbt,深圳市半塘电子商务有限公司,28
0.0,0.0,0.0,B,2016-07-05 00:00:00,2055453,124.0,124.0,17418890.0,weiai,无锡淘然居商贸有限公司,12
0.096774193548387094,0.096774193548387094,12.0,B,2016-07-19 00:00:00,2055453,124.0,124.0,17691207.0,weiai,无锡淘然居商贸有限公司,28
1.0,1.0,93.0,B,2016-07-26 00:00:00,2055453,93.0,93.0,17889648.0,weiai,无锡淘然居商贸有限公司,16
1.0,1.0,11.0,B,2016-08-08 00:00:00,2055453,11.0,11.0,18208731.0,weiai,无锡淘然居商贸有限公司,11
